What do you identify as?,Which better describes your parents?,Were either of your parents in STEM?,What is the highest level of education that either of your parents achieved?,What is your average household income (CAD) in 2021?,What was your high school admission average? [Top 6: including prerequisites!],Which extracurriculars did you do prior to coming to Waterloo? (Select all that apply),Were you part of any enrichment program in high school? (Select all that apply),Which of the following universities were among your top 3 programs that you applied to? (Select all that apply),Did you submit a video interview? ,How did you attend the majority of your last year of high school?,What format was your last year of high school in?,What is your University Average?,Final 1A Course Averages? [101],Final 1A Course Averages? [101L],Final 1A Course Averages? [111],Final 1A Course Averages? [113],Final 1A Course Averages? [121],Final 1A Course Averages? [161],Final 1A Course Averages? [181],Course Usefulness [101],Course Usefulness [101L],Course Usefulness [161],Course Usefulness [111],Course Usefulness [113],Course Usefulness [121],Course Usefulness [181],Course Difficulty [101],Course Difficulty [101L],Course Difficulty [161],Course Difficulty [111],Course Difficulty [113],Course Difficulty [121],Course Difficulty [181],Lectures Attended/Watched [101],Lectures Attended/Watched [101L],Lectures Attended/Watched [161],Lectures Attended/Watched [111],Lectures Attended/Watched [113],Lectures Attended/Watched [121],Lectures Attended/Watched [181],What percentage of live lectures/tutorials did you attend: [In-Person Synchronously],What percentage of live lectures/tutorials did you attend: [Online Synchronously],What percentage of live lectures/tutorials did you attend: [Online Asynchronously],Did your study habits improve over 1A?,Favourite Professor?,Least Favourite Professor?,Which round did you first get an interview in?,During which round did you accept your job?,Weirdest job interview question?,What kind of job did you accept?,What industry is your co-op in?,Are you happy with your co-op?,What is your pay? (CAD/hr),Did you participate in squydegame?,"If no, did you wish you did?",Did you help with the tagging of others?,Did you enjoy watching the action of the game?,Would you play next time?,What was your general stress level throughout the term?,"On average, how many hours of sleep do you get each night?",How many all-nighters did you pull this term?,How many days per week did you go outside?,Where did you live?,What percentage of the class could you name? (Intervals are in +10%),What percentage of your high school friends do you still keep in touch/are still friends with?,What percentage of your current friends are in SYDE?,Which of the following extracurriculars did you regularly (e.g. at least biweekly) engage in throughout the term? (Select all that apply),"Before coming to Waterloo, have you: [Drunk alcohol?]","Before coming to Waterloo, have you: [Smoked/Vaped?]","Before coming to Waterloo, have you: [Done drugs?]","Before coming to Waterloo, have you: [Had sex?]","Before coming to Waterloo, have you: [Had your first kiss?]","During 1A, did you: [Drink alcohol?]","During 1A, did you: [Smoke/Vape?]","During 1A, did you: [Do drugs?]","During 1A, did you: [Have sex?]","During 1A, did you: [Attend a university party?]","During 1A, did you: [Have your first kiss?]",How much did your rice purity score drop by between high school and the end of 1A? (You can check your rice purity score here: http://ricepuritytest.com/) Enter 0 if it did not drop.,How does your current experience with SYDE compare to what you expected it to be when you applied?,"Given the chance, would you apply to SYDE again?","If no, would you apply to another UW program instead? If so, enter the program you would apply to instead.",What is the biggest piece of advice/wisdom you would give to someone thinking about applying to SYDE?,What was your favourite assignment to complete?,"If you could describe 1A in one word, what would it be?"
Male,Immigrants,Yes,Undergraduate,$200 - 250K,93,"Volunteer experience, Club Leader, Eng Job/Tech Internship",Gifted,Ottawa/Carleton University,Yes,Fully online,Quadmesters,,75 - 79%,80 - 84%,60 - 64%,65 - 69%,70 - 74%,60 - 64%,95 - 99%,,,,,,,,5,6,2,2,3,3,7 (Very Easy),1 (None or Nearly None),5,2,7 (All or Nearly All),3,4,7 (All or Nearly All),0 - 25%,0 - 25%,0 - 25%,Yes,Nasim Paryab,Matt Borland,External Application,Have not been employed yet,Tell me about yourself,Software,consulting,Yes,24,Yes,,Yes,Yes,Yes,6,8,1,7,CMH,3,7,7,Hangouts with Friends,No,No,No,No,No,"Yes, for the first time",No,No,No,No,No,0,7,Yes,,The TsTsians are coming ,101L Assignment 3,PoggyWoggy
Male,Immigrants,No,Undergraduate,$200 - 250K,97.6,"Volunteer experience, Sports, Religious Activity, Club, Club Leader, Non-Eng Job",AP,"McMaster University, Queen's University, University of Toronto",Yes,Hybrid,Quadmesters,87.91,90 - 94%,90 - 94%,80 - 84%,85 - 89%,90 - 94%,75 - 79%,95 - 99%,2,5,5,7 (Very useful),6,7 (Very useful),5,7 (Very Easy),5,2,4,3,4,4,1 (None or Nearly None),6,3,7 (All or Nearly All),5,6,7 (All or Nearly All),76 - 100%,51 - 75%,51 - 75%,No,Sean Speziale,Matt Borland,1st Round,1st Round,No weird questions,Software,Banking/Financial,Yes,24,No,Yes,Yes,Yes,Yes,5,5,1,7,CMH,8,9,7,Hangouts with Friends,No,No,No,No,Yes,"Yes, for the first time",No,No,No,No,No,85,6,Yes,,"If you want a strong cohort and community, this engineering program is meant for you.",Assignment 3 - 101L,Rollercoaster
Female,Immigrants,No,Graduate,$100 - 150K,96,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Eng Job/Tech Internship",None,"McGill University, University of British Columbia, University of Toronto",Yes,Hybrid,Quadmesters,85,85 - 89%,90 - 94%,75 - 79%,85 - 89%,90 - 94%,75 - 79%,95 - 99%,2,4,4,6,4,6,6,7 (Very Easy),6,4,2,4,4,7 (Very Easy),2,5,3,7 (All or Nearly All),5,5,7 (All or Nearly All),76 - 100%,51 - 75%,51 - 75%,Yes,Nasim Paryab,Matt Borland,1st Round,2nd Round,N/A,Software,Banking/Financial,Yes,22.5,No,Yes,Yes,Yes,Yes,6,6,1,7,UWP,7,10,7,"Syde Projects, Hangouts with Friends",No,No,No,No,No,"Yes, for the first time",No,No,No,No,No,0,5,Yes,Software Engineering,"SYDE is a really unique program. If you get in, ur pretty special! Make sure to talk about what makes you, you, and talk about the long term extracurriculars you've done throughout ur life",101L assignment 3,Fast
Male,Immigrants,Yes,Graduate,$0 - 50K,98,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",None,"McMaster University, University of British Columbia, University of Toronto",Yes,Hybrid,Octomesters,85,90 - 94%,80 - 84%,75 - 79%,70 - 74%,85 - 89%,75 - 79%,100%,1 (Very useless),1 (Very useless),1 (Very useless),7 (Very useful),5,7 (Very useful),5,7 (Very Easy),4,1 (Very Difficult),1 (Very Difficult),1 (Very Difficult),1 (Very Difficult),3,1 (None or Nearly None),3,1 (None or Nearly None),7 (All or Nearly All),5,6,3,0 - 25%,26 - 50%,26 - 50%,No,Matt Borland,Matt Borland,2nd Round,Continuous,Pulled up an inappapriate joke I made in a coding project,Software,Data/marketing,Yes,20,No,Yes,No,Yes,Maybe,7,5,10,1,"With Family/Relatives, in-person learning",8,1,5,,No,No,No,No,No,"Yes, for the first time","Yes, for the first time","Yes, for the first time",No,"Yes, for the first time",No,4,1,No,They all are not the motive,Don't ,They were all pain,0/10
Male,Native-born,Yes,Undergraduate,$300K+,96.7,"Volunteer experience, Sports",None,"University of British Columbia, University of Toronto",Yes,Hybrid,Semesters,86.5,90 - 94%,90 - 94%,80 - 84%,85 - 89%,100%,80 - 84%,75 - 79%,1 (Very useless),4,2,4,4,7 (Very useful),3,7 (Very Easy),5,3,2,3,4,5,1 (None or Nearly None),7 (All or Nearly All),6,7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),2,0 - 25%,51 - 75%,26 - 50%,Yes,Jason Foster,Matt Borland,1st Round,Continuous,,,Education,No,16.43,No,No,No,Yes,Maybe,7,8,6,3,Non CMH-UWP UW residence,2,6,3,Hangouts with Friends,No,No,No,No,No,"Yes, for the first time",No,No,No,"Yes, for the first time",No,,3,No,ECE,,,pain
Male,Immigrants,No,Undergraduate,$0 - 50K,97,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job",None,"University of British Columbia, University of Toronto",Yes,Hybrid,Quadmesters,86.36,90 - 94%,90 - 94%,75 - 79%,80 - 84%,90 - 94%,80 - 84%,90 - 94%,3,5,3,6,5,7 (Very useful),5,3,6,3,2,2,5,4,4,5,6,7 (All or Nearly All),6,6,5,76 - 100%,76 - 100%,26 - 50%,Yes,Nasim Paryab,Matt Borland,2nd Round,2nd Round,What is your favourite mathematical concept?,Data Analyst,Data ,Yes,19,Yes,,No,Yes,Yes,6,8,0,7,CMH,6,3,7,"Sports, Hangouts with Friends",Yes,Yes,No,Yes,Yes,"Yes, done it before",No,No,No,"Yes, for the first time","Yes, done it before",0,4,Yes,,Be disciplined so you can have fun.,121 Project ,Pedantic 
Female,Native-born,Yes,Graduate,$100 - 150K,96.3,"Volunteer experience, Sports, Performing/Visual Arts, Non-Eng Job",AP,"McMaster University, University of Toronto",Yes,Fully online,Quadmesters,81.6,85 - 89%,90 - 94%,60 - 64%,75 - 79%,90 - 94%,75 - 79%,80 - 84%,4,5,5,5,5,4,5,7 (Very Easy),6,3,1 (Very Difficult),3,6,4,7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),26 - 50%,51 - 75%,0 - 25%,Yes,Jason Foster,Matt Borland,1st Round,1st Round,The fact that I didn?t get any in my first interview.,Software,Banking/Financial,Yes,17.25,No,No,No,No,No,5,9,0,7,"With Family/Relatives, in-person learning",5,2,9,"Sports, Arts",Yes,No,No,No,No,"Yes, done it before",No,No,No,No,No,0,5,Yes,,"Don?t stress too much, they give you more work than you can comfortably handle, and they know that.",A3 in 101L; the vehicle modelling assignment ,Tstsians
Male,Native-born,Yes,Graduate,$200 - 250K,98,"Volunteer experience, Sports",None,"McMaster University, Queen's University",Yes,Hybrid,Quadmesters,87,95 - 99%,85 - 89%,75 - 79%,80 - 84%,95 - 99%,80 - 84%,90 - 94%,2,7 (Very useful),4,6,6,7 (Very useful),5,6,4,2,1 (Very Difficult),3,3,5,4,6,6,7 (All or Nearly All),4,6,5,76 - 100%,76 - 100%,76 - 100%,Yes,Nasim Paryab,Matt Borland,1st Round,Continuous,How would you improve the app: The Score,Testing and DevOps,Robotics,Yes,18.5,Yes,,Yes,Yes,Yes,5,7,0,7,CMH,5,9,1,"Sports, Syde Projects, Hangouts with Friends",Yes,Yes,Yes,Yes,Yes,"Yes, done it before",No,No,"Yes, done it before","Yes, done it before","Yes, done it before",,4,Yes,,Do it.,121 Assignments ,Change
Female,Native-born,Yes,Graduate,$300K+,95,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",None,"McMaster University, Western University, Guelph",Yes,Hybrid,Quadmesters,72,85 - 89%,80 - 84%,<60%,60 - 64%,80 - 84%,65 - 69%,70 - 74%,1 (Very useless),5,6,2,3,4,1 (Very useless),7 (Very Easy),4,,1 (Very Difficult),2,1 (Very Difficult),6,1 (None or Nearly None),5,2,7 (All or Nearly All),2,6,2,76 - 100%,26 - 50%,0 - 25%,Yes,Sean Speziale,Matt Borland,1st Round,1st Round,,Product/Project Management,Software,Yes,19,No,No,No,Yes,Maybe,4,5,0,7,Non CMH-UWP UW residence,3,7,1,Hangouts with Friends,Yes,No,No,No,Yes,"Yes, done it before",No,No,No,"Yes, for the first time",No,1,6,Yes,,"Don't let your grades define you. You're never going to be able to do absolutely everything so don't let it beat you up. Make time for fun, your mental health is significantly more important than your grades. Find a study buddy you work well with and make a commitment to each other.",101L Assignment 3 (Build a vehicle),Scrambled
Female,Immigrants,No,Undergraduate,$50 - 100K,96,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",None,"McMaster University, Ottawa/Carleton University, University of Toronto, Guelph, Ryerson",Yes,Hybrid,Semesters,93,90 - 94%,90 - 94%,95 - 99%,85 - 89%,90 - 94%,85 - 89%,95 - 99%,1 (Very useless),5,6,3,4,4,3,7 (Very Easy),6,3,2,1 (Very Difficult),5,7 (Very Easy),1 (None or Nearly None),7 (All or Nearly All),1 (None or Nearly None),7 (All or Nearly All),5,4,7 (All or Nearly All),76 - 100%,76 - 100%,0 - 25%,Yes,Jason Foster,Matt Borland,1st Round,1st Round,,UI/UX,Government,Yes,19,No,No,No,No,No,4,8,0,7,CMH,9,1,8,"Design Team, Syde Projects, Hangouts with Friends",No,No,No,No,No,No,No,No,No,"Yes, for the first time",No,0,6,Yes,,Don't set unrealistically high expectations for how you want your university life to look like,101L build a vehicle,fast
Male,Immigrants,Yes,Graduate,,94.3,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",None,"McMaster University, College outside Canada",Yes,Hybrid,Quadmesters,86.27,90 - 94%,90 - 94%,85 - 89%,85 - 89%,85 - 89%,75 - 79%,85 - 89%,2,5,4,6,3,6,5,6,5,2,3,4,5,6,1 (None or Nearly None),6,5,6,2,3,4,51 - 75%,26 - 50%,0 - 25%,No,,,Continous,Continuous,,Software,Entertainment,Yes,19.63,Yes,,Yes,Yes,No,5,7,0,4,CMH,8,4,3,,Yes,No,No,No,No,"Yes, done it before",No,No,No,"Yes, for the first time",No,,4,Yes,,Interact with people and enjoy yourself,181 Midterm ??,decent
Male,Immigrants,Yes,Graduate,$100 - 150K,97.3,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job",IB,"McMaster University, University of Toronto, University of Waterloo (or Ryerson if not counting Waterloo)",Yes,Hybrid,Quadmesters,3.73,90 - 94%,85 - 89%,80 - 84%,80 - 84%,90 - 94%,75 - 79%,95 - 99%,3,7 (Very useful),6,4,4,6,4,7 (Very Easy),5,3,2,2,5,7 (Very Easy),1 (None or Nearly None),7 (All or Nearly All),5,6,5,5,6,76 - 100%,51 - 75%,51 - 75%,No,Jason Foster,Matt Borland,Continous,Continuous,was asked if I'd be down to eventually teach a new speaking language for a web dev position,Software,Digital Advertising,Yes,16.67,No,No,,,Maybe,5,7,0,6,UWP,3,4,1,Hangouts with Friends,No,No,No,No,No,No,No,No,No,"Yes, for the first time",No,2,4,No,Mechatronics,Make friends in the program and try to hang out with them more often,5-parts custom Vehicle CAD for 101L,Intense
Female,Immigrants,Yes,Graduate,$200 - 250K,98,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",AP,McMaster University,Yes,Fully online,Quadmesters,86.18,90 - 94%,80 - 84%,80 - 84%,85 - 89%,95 - 99%,80 - 84%,80 - 84%,2,4,6,5,3,7 (Very useful),4,7 (Very Easy),3,3,2,5,7 (Very Easy),5,1 (None or Nearly None),6,2,5,7 (All or Nearly All),2,2,0 - 25%,0 - 25%,51 - 75%,No,Jason Foster,Matt Borland,1st Round,1st Round,,Product/Project Management,Software,Yes,18.5,No,No,No,No,No,6,9,10,2,UWP,1,3,0,"Sports, Hangouts with Friends",Yes,No,No,No,Yes,"Yes, done it before",No,No,"Yes, for the first time",No,"Yes, done it before",14,6,Yes,,"It's very versatile - you can go into whatever field you want. The variety of courses is somewhat difficult to manage/switch between mentally at times, but the community is very tight-knit and the professors generally are more understanding than in other faculties. However, prepare to be very mentally challenged - even if you were at the top of the pack in highschool, you will be surrounded by many other like-minded people and the standards are going to be much higher. Remember to take time for yourself and keep the bigger picture in mind.",Final Coding Project for 121,Exhaustion
Male,Immigrants,Yes,Undergraduate,$50 - 100K,96,"Volunteer experience, Sports, Religious Activity, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",None,"McMaster University, University of Toronto",Yes,Fully online,Quadmesters,3.7,85 - 89%,80 - 84%,75 - 79%,75 - 79%,90 - 94%,75 - 79%,95 - 99%,1 (Very useless),1 (Very useless),3,,4,4,2,6,2,4,6,5,2,4,1 (None or Nearly None),3,1 (None or Nearly None),7 (All or Nearly All),7 (All or Nearly All),4,7 (All or Nearly All),0 - 25%,76 - 100%,51 - 75%,No,Sean Speziale,Jason Foster,1st Round,Continuous,not an interview question but they took away my offer a week after giving me one lmao,Software,Software,Yes,27,Yes,,No,Yes,Yes,7,3,7,7,CMH,1,5,1,Syde Projects,No,No,No,No,No,No,No,No,No,No,No,0,2,Yes,Comp Sci would always be my top pick,"dont worry about your drop in grades, just focus on picking up the key concepts from each class and grind coop, cuz thats what matters the most","None, i dont like assignments",shit
Female,Immigrants,Yes,Undergraduate,$150 - 200K,97.5,"Sports, Club Leader, Non-Eng Job",None,"McMaster University, University of Toronto",Yes,Fully online,Quadmesters,89%,90 - 94%,85 - 89%,80 - 84%,90 - 94%,95 - 99%,85 - 89%,90 - 94%,2,5,5,5,4,6,5,7 (Very Easy),6,4,2,3,5,6,1 (None or Nearly None),7 (All or Nearly All),3,7 (All or Nearly All),6,4,7 (All or Nearly All),51 - 75%,0 - 25%,26 - 50%,No,Sean Speziale,Matt Borland,1st Round,Continuous,,Product/Project Management,Government,No,20,Yes,,No,Yes,Yes,4,7,0,4,CMH,8,9,6,Hangouts with Friends,No,No,No,No,No,"Yes, for the first time",No,No,No,No,No,1,5,Yes,,"Rather than comparing yourself to your peers, just have a conversation with them and you'll realize everyone's going through the same struggles. ",101L Vehicle CAD Design ,Busy
Male,Immigrants,Yes,Graduate,$200 - 250K,,"Volunteer experience, Sports, Club",AP,University of British Columbia,Yes,Hybrid,Quadmesters,85.46,85 - 89%,80 - 84%,80 - 84%,80 - 84%,85 - 89%,70 - 74%,95 - 99%,2,4,4,4,4,6,3,6,3,2,4,3,4,5,2,4,3,5,5,4,2,0 - 25%,26 - 50%,51 - 75%,Yes,Ewen MacDonald,Matt Borland,2nd Round,Continuous,,Software,Health,Yes,18.75,No,Yes,No,Yes,Yes,5,7,2,6,"Normal living arrangements, did online learning",3,6,0,"Sports, Syde Projects, Hangouts with Friends",Yes,No,No,No,No,No,No,No,No,No,No,0,5,Yes,,stop worrying so much and enjoy life,101L assignment 2,hectic
Female,Immigrants,No,Undergraduate,$50 - 100K,97,"Volunteer experience, Sports, Performing/Visual Arts",None,"McMaster University, University of Toronto",Yes,Hybrid,Octomesters,81,80 - 84%,95 - 99%,65 - 69%,70 - 74%,90 - 94%,75 - 79%,85 - 89%,2,4,5,6,5,7 (Very useful),5,7 (Very Easy),6,4,1 (Very Difficult),4,5,7 (Very Easy),2,6,1 (None or Nearly None),7 (All or Nearly All),4,6,5,51 - 75%,51 - 75%,0 - 25%,No,Sean Speziale,Christopher Nehaniv,2nd Round,Continuous,,Software,Robotics,Yes,20,Yes,,Yes,Yes,Yes,6,6,3,6,CMH,7,9,5,Hangouts with Friends,Yes,Yes,Yes,Yes,Yes,"Yes, done it before","Yes, done it before","Yes, done it before","Yes, done it before","Yes, for the first time","Yes, done it before",4,7,Yes,,,,
Female,Immigrants,Yes,Undergraduate,$200 - 250K,95.8,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job",None,"Ottawa/Carleton University, University of Toronto",Yes,Fully online,Quadmesters,87,75 - 79%,80 - 84%,85 - 89%,90 - 94%,95 - 99%,80 - 84%,90 - 94%,3,2,3,6,5,7 (Very useful),6,6,4,3,1 (Very Difficult),2,5,4,1 (None or Nearly None),3,2,7 (All or Nearly All),6,4,7 (All or Nearly All),76 - 100%,51 - 75%,0 - 25%,,Nasim Paryab,Kate Mercer,1st Round,1st Round,,Software,Software,Yes,20.5,Yes,,Yes,Yes,Yes,4,7,0,7,UWP,6,3,10,"Sports, Hangouts with Friends",Yes,Yes,Yes,No,Yes,"Yes, done it before","Yes, done it before","Yes, done it before",No,"Yes, for the first time",No,6,5,Yes,,"get them syde projects done, join an extracurricular",121 project,TsTsians
Female,Immigrants,Yes,Graduate,$300K+,97,"Volunteer experience, Performing/Visual Arts, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",AP,"McMaster University, University of Toronto",Yes,Fully online,Quadmesters,92,90 - 94%,85 - 89%,90 - 94%,90 - 94%,90 - 94%,85 - 89%,95 - 99%,6,7 (Very useful),6,4,4,5,4,7 (Very Easy),6,4,5,4,3,6,1 (None or Nearly None),6,7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),6,7 (All or Nearly All),0 - 25%,76 - 100%,26 - 50%,Yes,Sean Speziale,Jason Foster,1st Round,2nd Round,Was asked to explain business processes at my last job (an area I didn?t work in),UI/UX,Government,Yes,20.19,No,Yes,Yes,Yes,Yes,6,6,1,4,CMH,4,9,6,"Syde Projects, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,No,No,"Yes, for the first time",No,0,5,Yes,,"Make sure it aligns with your interests! Check upper year courses, talk to upper years, and make sure you know the pros and cons of the program.",101L vehicle design project,Eye-opening
Female,Immigrants,Yes,Graduate,$100 - 150K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Non-Eng Job",None,"McMaster University, Queen's University, University of Toronto",Yes,Hybrid,Quadmesters,85,90 - 94%,80 - 84%,70 - 74%,75 - 79%,90 - 94%,85 - 89%,95 - 99%,4,6,5,3,4,7 (Very useful),3,7 (Very Easy),5,4,1 (Very Difficult),5,4,6,2,4,3,7 (All or Nearly All),4,5,5,76 - 100%,51 - 75%,26 - 50%,No,Nasim Paryab,Christopher Nehaniv,1st Round,1st Round,How would instruct someone who knows nothing about computers/code/technical terminologies to open and run a java file?,Software,Health,Yes,26,No,Yes,No,Yes,Yes,6,7,0,2,"With Family/Relatives, in-person learning",2,9,1,Hangouts with Friends,No,No,No,No,No,No,No,No,No,No,No,0,3,Yes,,"Things like ""SYDE is tight, fun, chill, wide range of topics"" are what most people hear. And though true, also be prepared to struggle a little. Unlike highschool, things (such as calc) aren't as easy to understand or do AMAZING in. So it might destroy your self esteem but also remember it is 1A and its a huge change, especially with all the covid school years. So for sure, COME TO SYDE its FUN and also keep in mind you will need to work. :)",101L: Making a vehicle on OnShape (CAD) ,TsTsians
Male,Native-born,Yes,Undergraduate,$250 - 300K,93,"Volunteer experience, Sports, Performing/Visual Arts, Club, Non-Eng Job",None,"University of British Columbia, University of Toronto",Yes,Hybrid,Quadmesters,79,90 - 94%,80 - 84%,65 - 69%,70 - 74%,90 - 94%,75 - 79%,85 - 89%,3,5,6,6,6,7 (Very useful),4,7 (Very Easy),6,6,3,3,4,7 (Very Easy),5,7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),4,6,4,76 - 100%,51 - 75%,76 - 100%,Yes,Jason Foster,Christopher Nehaniv,Continous,Continuous,,Software,Manufactoring,Yes,18.5,No,No,No,Yes,Yes,3,8,1,7,Non CMH-UWP UW residence,3,2,1,"Sports, Hangouts with Friends",Yes,No,No,No,Yes,"Yes, done it before",No,"Yes, for the first time","Yes, for the first time","Yes, for the first time","Yes, done it before",20,4,Yes,,"If you have no idea what to apply to, apply to SYDE. ",161 Assignment 3,Mid
Male,Immigrants,No,Graduate,$250 - 300K,93.8,"Volunteer experience, Sports, Religious Activity, Club, Eng Job/Tech Internship",IB,"McGill University, Ottawa/Carleton University, UC Irvine",Yes,Hybrid,Quadmesters,90%,90 - 94%,85 - 89%,90 - 94%,90 - 94%,90 - 94%,80 - 84%,95 - 99%,2,6,4,5,6,3,4,7 (Very Easy),5,2,3,4,3,6,1 (None or Nearly None),3,2,6,7 (All or Nearly All),2,7 (All or Nearly All),26 - 50%,0 - 25%,26 - 50%,No,Nasim Paryab,Kate Mercer,Continous,Continuous,Do you know Adobe Photoshop (this was for a Software Developer role),Data Science & Analytics,Government,Yes,20.19,No,Yes,No,Yes,Maybe,5,7,3,7,UWP,4,7,2,"Sports, Hangouts with Friends",No,No,No,No,No,No,No,No,No,No,No,0,2,Yes,,"The 'close knit' community reason to apply to syde is invalid. SYDE is what you make it to be, a lot of the kids just form small groups and stick with them. If you want a big group of friends you have to spend a lot of external time trying to make them.",SYDE 101L building a vehicle of your own (I built a Jeep!),Unexpected
Female,Native-born,No,Undergraduate,$300K+,96,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship","AP, Private School","McMaster University, University of British Columbia, University of Toronto",Yes,Hybrid,Semesters,83,85 - 89%,90 - 94%,70 - 74%,75 - 79%,95 - 99%,80 - 84%,80 - 84%,3,6,5,,5,6,,6,5,4,1 (Very Difficult),2,5,3,6,6,5,7 (All or Nearly All),5,7 (All or Nearly All),6,76 - 100%,51 - 75%,51 - 75%,No,Jason Foster,Matt Borland,1st Round,2nd Round,"If you worked on the 60th floor of an office building and walked up to your desk and there was a bomb, what would you do?",Product Design,Manufactoring,Yes,19,No,Yes,No,Yes,Maybe,5,8,0,5,UWP,4,3,8,"Clubs, Design Team",Yes,No,No,No,No,No,No,No,No,No,No,0,5,Yes,,Adjust your expectations - it's not like the movies. ,101-L Assignment 3,Adjustment
Female,Immigrants,No,Undergraduate,$50 - 100K,96.5,"Volunteer experience, Club, Club Leader",AP,University of Toronto,Yes,Hybrid,Quadmesters,84,85 - 89%,90 - 94%,65 - 69%,70 - 74%,95 - 99%,75 - 79%,90 - 94%,1 (Very useless),3,2,3,3,5,4,5,6,4,1 (Very Difficult),3,7 (Very Easy),7 (Very Easy),1 (None or Nearly None),6,1 (None or Nearly None),7 (All or Nearly All),4,6,6,26 - 50%,0 - 25%,26 - 50%,No,Nasim Paryab,Sean Speziale,1st Round,1st Round,,Software,Banking/Financial,Yes,21,No,No,No,Yes,Maybe,6,4,4,6,UWP,3,10,10,"Syde Projects, Hangouts with Friends",No,No,No,No,No,"Yes, for the first time",No,No,No,No,No,3,5,Yes,,"Try your best but don't base your worth on university acceptances or grades. If you work hard you'll be successful, whether that's in SYDE or not. Having said this, if SYDE's your goal, make sure you pursue things that interest you in high school, even if they don't necessarily relate to engineering. They want to see your personality and your enthusiasm, not just your grades. You've got this!",121 Game,Exciting
Male,Immigrants,Yes,Undergraduate,$100 - 150K,98,"Volunteer experience, Performing/Visual Arts, Club, Club Leader, Non-Eng Job",AP,"McMaster University, University of British Columbia, University of Toronto",Yes,Hybrid,Quadmesters,,85 - 89%,80 - 84%,85 - 89%,90 - 94%,90 - 94%,80 - 84%,85 - 89%,1 (Very useless),1 (Very useless),3,6,6,5,4,1 (Very Difficult),4,3,4,4,2,4,1 (None or Nearly None),5,2,7 (All or Nearly All),7 (All or Nearly All),2,7 (All or Nearly All),51 - 75%,0 - 25%,51 - 75%,No,Christopher Nehaniv,Jason Foster,2nd Round,2nd Round,"""How do you test a toaster?"" ",Software,Banking/Financial,Yes,19,No,No,,,Maybe,4,8,0,1,"With Family/Relatives, in-person learning",1,9,1,Hangouts with Friends,Yes,No,No,Yes,Yes,"Yes, done it before",No,No,No,No,No,2,2,No,CS,get good,/shrug,death 
Female,Immigrants,Yes,Graduate,$150 - 200K,98.6,"Volunteer experience, Performing/Visual Arts, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship","None, AP",University of Toronto,Yes,Fully online,Semesters,3.9,90 - 94%,90 - 94%,90 - 94%,100%,95 - 99%,80 - 84%,85 - 89%,1 (Very useless),3,2,4,4,1 (Very useless),2,4,3,2,2,3,4,3,1 (None or Nearly None),3,3,4,3,1 (None or Nearly None),2,26 - 50%,51 - 75%,0 - 25%,No,Sean Speziale,Matt Borland,1st Round,1st Round,,Software,Banking/Financial,Yes,,No,No,,,,4,7,3,3,Off-campus housing,1,8,1,Hangouts with Friends,No,No,No,No,Yes,No,No,No,No,No,No,3,4,Yes,,,121 final assignment ,Free
Female,Immigrants,Yes,Undergraduate,$300K+,97,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",IB,"McMaster University, University of Toronto, Western University",Yes,Fully online,Quadmesters,87,90 - 94%,90 - 94%,80 - 84%,85 - 89%,95 - 99%,85 - 89%,85 - 89%,5,7 (Very useful),6,5,7 (Very useful),7 (Very useful),7 (Very useful),6,7 (Very Easy),6,5,5,7 (Very Easy),6,2,6,7 (All or Nearly All),7 (All or Nearly All),6,4,6,76 - 100%,76 - 100%,76 - 100%,Yes,Sean Speziale,Matt Borland,1st Round,Continuous,,Software,Retail,Yes,27.5,Yes,,Yes,Yes,Yes,5,8,0,6,CMH,5,10,2,"Clubs, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,No,No,No,No,0,4,Yes,,,101L Assignment 4,fun
